Indice,CODIGO,NOMBRE,CANTIDAD,COSTO-UNIT,VALOR-IVA,PRECIO-UNIT,TOTALES
1052,"7,27373E+11",ONZA MANZANA X 600 ML,3.0,991.74,208.26,1200.0,3600.0
389,"7,79286E+12",chupeton cito,3.0,330.58,69.42,400.0,1200.0
266,"7,79004E+12",BUDIN ARC C/CHOCX215G,3.0,2479.34,520.66,3000.0,9000.0
1465,T5,TRAGO VODKA X 800 ML,3.0,3719.01,780.99,4500.0,13500.0
1458,"7,79031E+12",TOSTITOS NACHOS X 1299,3.0,2396.69,503.31,2900.0,8700.0
285,"7,79058E+12",CAJA EL KIOSCO EN CASA,3.0,4958.68,1041.32,6000.0,18000.0
286,8723evghsds,cajita,3.0,1983.47,416.53,2400.0,7200.0
295,77977236,CAMEL CIRCLE BOX 20,3.0,2132.23,447.77,2580.0,7740.0
304,"7,79058E+12",CAR MASTICABLES X 800G,3.0,1322.31,277.69,1600.0,4800.0
325,"7,7909E+12","Cepita Manzana ROJA 1,5L",3.0,2066.12,433.88,2500.0,7500.0
332,77984395,Cereal Mix Chocolate,3.0,165.29,34.71,200.0,600.0
347,"7,79098E+12",CHANDON EXTRA BRUT X 750ML,3.0,10743.8,2256.2,13000.0,39000.0
373,"7,6222E+12",CHOCOLATE MILKA LEGER LECHE 110 GS,3.0,619.83,130.17,750.0,2250.0
1419,"7,6222E+12",TERRABUSI CHIPS 144s,3.0,330.58,69.42,400.0,1200.0
1417,"7,6222E+12",TERRABUSI BOCA DE DAMA,3.0,330.58,69.42,400.0,1200.0
1468,"7,79024E+12",TRAPICHE RESERVA MALBEC,3.0,4958.68,1041.32,6000.0,18000.0
399,"7,62221E+12",CLUB SOCIAL JAMON x6 UNIDADES,3.0,578.51,121.49,700.0,2100.0
1411,"7,79805E+12",TEREPIN PEPAS 400Gs,3.0,330.58,69.42,400.0,1200.0
450,"7,79058E+12",COFLER CHOCOLINAS 63G,3.0,743.8,156.2,900.0,2700.0
466,"7,79017E+12",COLON SELECTO MALBEC,3.0,3305.79,694.21,4000.0,12000.0
1400,"7,6222E+12",Tang Pera 18g,3.0,165.29,34.71,200.0,600.0
1399,"7,6222E+12",TANG MULTIFRUTA,3.0,82.64,17.36,100.0,300.0
1396,"7,7981E+12",TABACO LAS HOJAS PREMIUM QUALITY 30G,3.0,578.51,121.49,700.0,2100.0
1050,"7,27373E+11",ONZA cool blue 600ml,3.0,991.74,208.26,1200.0,3600.0
502,77908377,CUSENIER CAFE AL CONAC 200ML,3.0,413.22,86.78,500.0,1500.0
1389,"7,79814E+12",SUERO frutilla kiwi,3.0,1487.6,312.4,1800.0,5400.0
530,"7,79125E+12",DOLORES MALBEC,3.0,3305.79,694.21,4000.0,12000.0
541,"7,79031E+12",DORITOS DINAMITA 33G,3.0,1487.6,312.4,1800.0,5400.0
263,"7,79806E+12",BRIO MULTIFRUTA X 1500CML,3.0,661.16,138.84,800.0,2400.0
251,"7,79058E+12",bon o bon surtido 255g,3.0,4958.68,1041.32,6000.0,18000.0
569,"7,79154E+12",EL BAUTISMO BB4,3.0,1652.89,347.11,2000.0,6000.0
105,"7,79315E+12",AMSTEL LAGER PACKS X6,3.0,7438.02,1561.98,9000.0,27000.0
15,Toallitas femeninas,"7,79025E+12",3.0,1239.67,260.33,1500.0,4500.0
19,"7,79181E+12",7UP X 1.5 L,3.0,2314.05,485.95,2800.0,8400.0
25,"7,31204E+12",ABSOLUT RASPBERRI 1LT,3.0,20661.16,4338.84,25000.0,75000.0
37,"7,7909E+12",ADES NARANJA X 1 L,3.0,1570.25,329.75,1900.0,5700.0
54,"7,79811E+12","AGUA TONICA X 2,25 LTS",3.0,371.9,78.1,450.0,1350.0
1538,"6,59436E+11",YOOP BAR banana,3.0,2479.34,520.66,3000.0,9000.0
73,"7,79827E+12",Alfajor La Bustincera Blanco,3.0,1239.67,260.33,1500.0,4500.0
76,1835,Alfajor La Bustincera Limon,3.0,1239.67,260.33,1500.0,4500.0
80,77980168,ALFAJOR MANON,3.0,82.64,17.36,100.0,300.0
91,"7,79154E+12",ALMA MORA CABERNET 2020,3.0,3305.79,694.21,4000.0,12000.0
1533,"7,79813E+12",WATER POP,3.0,1487.6,312.4,1800.0,5400.0
1530,"7,79813E+12",VOTTANO JUNIOR MALBEC 2021,3.0,4132.23,867.77,5000.0,15000.0
121,"7,7928E+12",ANDES VENDIMIA 473CM,3.0,413.22,86.78,500.0,1500.0
245,"7,79058E+12",BON O BON CON CHOCOLINAS X 270G,3.0,4545.45,954.55,5500.0,16500.0
126,"7,7909E+12","AQUARIS LIMONADA X 2,25 L",3.0,1487.6,312.4,1800.0,5400.0
160,"6,56874E+11",AXIS LYCHEE ICE,3.0,3305.79,694.21,4000.0,12000.0
1513,"7,89605E+12",VELHO BARREIRO,3.0,4049.59,850.41,4900.0,14700.0
182,"7,79058E+12",BARRA CHOCOLINAS 40G,3.0,330.58,69.42,400.0,1200.0
1502,"7,79031E+12",TWISTOS QUESO X 155 G,3.0,2066.12,433.88,2500.0,7500.0
192,"7,79004E+12",BC multifruta x500,3.0,578.51,121.49,700.0,2100.0
1493,"7,79058E+12",TURRON DE MANI 120 G,3.0,1239.67,260.33,1500.0,4500.0
1485,"7,79101E+12",TULIPAN NEON,3.0,1487.6,312.4,1800.0,5400.0
1482,"7,79101E+12",TULIPAN DOBLE PLACER,3.0,1487.6,312.4,1800.0,5400.0
222,"7,79315E+12",BLUE MOON 473 CM,3.0,2066.12,433.88,2500.0,7500.0
230,"7,7912E+12",Bols Melon,3.0,4132.23,867.77,5000.0,15000.0
